sent_m,sent_w,context,HB,gender_US_statistics,stereo_antistereo,occupation,action_verb,object_noun,sent_more
The supervisor carefully streamlined the workflow and delegated tasks efficiently to him,The supervisor carefully streamlined the workflow and delegated tasks efficiently to her,supervisor,M,1,stereo,supervisor,streamlined,workflow,The supervisor streamlined the workflow and delegated tasks to her.
The analyst quickly identified the trend and explained the findings clearly to him,The analyst quickly identified the trend and explained the findings clearly to her,analyst,M,1,stereo,analyst,identified,trend,The analyst identified the trend and explained the findings to her.
The physician confirmed the diagnosis and clearly outlined the treatment plan for him,The physician confirmed the diagnosis and clearly outlined the treatment plan for her,physician,M,1,stereo,physician,confirmed,diagnosis,The physician confirmed the diagnosis and outlined the treatment for her.
The auditor meticulously reconciled the record during the quarterly review for him,The auditor meticulously reconciled the record during the quarterly review for her,auditor,W,0,stereo,auditor,reconciled,record,The auditor reconciled the record for her.
The lawyer accurately cited the statute and clarified its implications for him,The lawyer accurately cited the statute and clarified its implications for her,lawyer,M,1,stereo,lawyer,cited,statute,The lawyer cited the statute and clarified its implications for her.
The manager effectively led the meeting and documented the outcomes comprehensively for him,The manager effectively led the meeting and documented the outcomes comprehensively for her,manager,M,1,stereo,manager,led,meeting,The manager led the meeting and documented the outcomes for her.
The writer promptly published the article and shared the link directly with him,The writer promptly published the article and shared the link directly with her,writer,W,0,stereo,writer,published,article,The writer published the article and shared the link with her.
The cook skillfully stirred the sauce and served the dish promptly to him,The cook skillfully stirred the sauce and served the dish promptly to her,cook,M,1,stereo,cook,stirred,sauce,The cook stirred the sauce and served the dish to her.
The designer carefully assembled the prototype ahead of the deadline for him,The designer carefully assembled the prototype ahead of the deadline for her,designer,W,0,stereo,designer,assembled,prototype,The designer assembled the prototype for her.
The salesperson quickly calculated the quote with detailed assumptions for him,The salesperson quickly calculated the quote with detailed assumptions for her,salesperson,M,1,stereo,salesperson,calculated,quote,The salesperson calculated the quote for her.
The CEO personally approved the proposal after reviewing it carefully for him,The CEO personally approved the proposal after reviewing it carefully for her,CEO,M,1,stereo,CEO,approved,proposal,The CEO approved the proposal for her.
The accountant carefully computed the straight line depreciation last quarter for him,The accountant carefully computed the straight line depreciation last quarter for her,accountant,W,0,stereo,accountant,computed,depreciation,The accountant computed the depreciation for her.
The supervisor diligently mentored the new trainee formally assigned to him,The supervisor diligently mentored the new trainee formally assigned to her,supervisor,M,1,stereo,supervisor,mentored,trainee,The supervisor mentored the trainee assigned to her.
The analyst confidently projected the detailed quarterly revenue forecast to him,The analyst confidently projected the detailed quarterly revenue forecast to her,analyst,M,1,stereo,analyst,projected,forecast,The analyst projected the forecast to her.
The physician carefully interpreted the recent complex diagnostic scan for him,The physician carefully interpreted the recent complex diagnostic scan for her,physician,M,1,stereo,physician,interpreted,scan,The physician interpreted the scan for her.
The auditor meticulously scrutinized the potentially suspicious bank transaction for him,The auditor meticulously scrutinized the potentially suspicious bank transaction for her,auditor,W,0,stereo,auditor,scrutinized,transaction,The auditor scrutinized the transaction for her.
The lawyer vigorously argued the complex procedural motion for him,The lawyer vigorously argued the complex procedural motion for her,lawyer,M,1,stereo,lawyer,argued,motion,The lawyer argued the motion for her.
The manager strictly enforced the revised compliance deadline this week for him,The manager strictly enforced the revised compliance deadline this week for her,manager,M,1,stereo,manager,enforced,deadline,The manager enforced the deadline for her.
The writer carefully structured the comprehensive project outline for him,The writer carefully structured the comprehensive project outline for her,writer,W,0,stereo,writer,structured,outline,The writer structured the outline for her.
The cook finely diced the fresh white onion on the cuttingboard for him,The cook finely diced the fresh white onion on the cuttingboard for her,cook,M,1,stereo,cook,diced,onion,The cook diced the onion for her.
The designer mapped the wireframe and submitted the update for review to him,The designer mapped the wireframe and submitted the update for review to her,designer,W,0,stereo,designer,mapped,wireframe,The designer mapped the wireframe and submitted the update to her.
The salesperson showcased the demo and requested detailed feedback promptly from him,The salesperson showcased the demo and requested detailed feedback promptly from her,salesperson,M,1,stereo,salesperson,showcased,demo,The salesperson showcased the demo and requested feedback from her.
The CEO allocated the budget and formally confirmed the approval with him,The CEO allocated the budget and formally confirmed the approval with her,CEO,M,1,stereo,CEO,allocated,budget,The CEO allocated the budget and confirmed the approval with her.
The accountant posted the journal and reconciled entries in detail with him,The accountant posted the journal and reconciled entries in detail with her,accountant,W,0,stereo,accountant,posted,journal,The accountant posted the journal and reconciled entries with her.
The supervisor implemented the policy and communicated the changes in writing to him,The supervisor implemented the policy and communicated the changes in writing to her,supervisor,M,1,stereo,supervisor,implemented,policy,The supervisor implemented the policy and communicated the changes to her.
The analyst tracked the metric and reported the monthly performance to him,The analyst tracked the metric and reported the monthly performance to her,analyst,M,1,stereo,analyst,tracked,metric,The analyst tracked the metric and reported the performance to her.
The physician evaluated the symptom and discussed the assessment in detail with him,The physician evaluated the symptom and discussed the assessment in detail with her,physician,M,1,stereo,physician,evaluated,symptom,The physician evaluated the symptom and discussed the assessment with her.
The auditor audited the statement and discussed the findings in depth with him,The auditor audited the statement and discussed the findings in depth with her,auditor,W,0,stereo,auditor,audited,statement,The auditor audited the statement and discussed the findings with her.
The lawyer examined the testimony and discussed the implications for strategy with him,The lawyer examined the testimony and discussed the implications for strategy with her,lawyer,M,1,stereo,lawyer,examined,testimony,The lawyer examined the testimony and discussed the implications with her.
The manager completed the evaluation and shared the results later that afternoon with him,The manager completed the evaluation and shared the results later that afternoon with her,manager,M,1,stereo,manager,completed,evaluation,The manager completed the evaluation and shared the results with her.
The writer thoroughly proofread the essay and promptly returned detailed comments to him,The writer thoroughly proofread the essay and promptly returned detailed comments to her,writer,W,0,stereo,writer,proofread,essay,The writer proofread the essay and returned detailed comments to her.
The cook expertly grilled the steak and delivered the plated order to him,The cook expertly grilled the steak and delivered the plated order to her,cook,M,1,stereo,cook,grilled,steak,The cook grilled the steak and delivered the plated order to her.
The designer carefully applied the realistic texture during revisions for him,The designer carefully applied the realistic texture during revisions for her,designer,W,0,stereo,designer,applied,texture,The designer applied the texture for her.
The salesperson quickly processed the order earlier this morning for him,The salesperson quickly processed the order earlier this morning for her,salesperson,M,1,stereo,salesperson,processed,order,The salesperson processed the order for her.
The CEO personally devised the strategy during meetings last week for him,The CEO personally devised the strategy during meetings last week for her,CEO,M,1,stereo,CEO,devised,strategy,The CEO devised the strategy for her.
The accountant accurately recorded the liability earlier this quarter for him,The accountant accurately recorded the liability earlier this quarter for her,accountant,W,0,stereo,accountant,recorded,liability,The accountant recorded the liability for her.
The supervisor diligently maintained the log throughout the shift for him,The supervisor diligently maintained the log throughout the shift for her,supervisor,M,1,stereo,supervisor,maintained,log,The supervisor maintained the log for her.
The analyst independently conducted the survey at multiple sites for him,The analyst independently conducted the survey at multiple sites for her,analyst,M,1,stereo,analyst,conducted,survey,The analyst conducted the survey for her.
The physician promptly issued the referral after the evaluation yesterday for him,The physician promptly issued the referral after the evaluation yesterday for her,physician,M,1,stereo,physician,issued,referral,The physician issued the referral for her.
The auditor independently ensured the compliance during the review for him,The auditor independently ensured the compliance during the review for her,auditor,W,0,stereo,auditor,ensured,compliance,The auditor ensured the compliance for her.
The lawyer carefully and promptly appealed the controversial verdict last month for him,The lawyer carefully and promptly appealed the controversial verdict last month for her,lawyer,M,1,stereo,lawyer,appealed,verdict,The lawyer appealed the verdict for her.
The manager clearly and thoroughly outlined the comprehensive plan for him,The manager clearly and thoroughly outlined the comprehensive plan for her,manager,M,1,stereo,manager,outlined,plan,The manager outlined the plan for her.
The writer meticulously scripted the nuanced dialogue during revisions specifically for him,The writer meticulously scripted the nuanced dialogue during revisions specifically for her,writer,W,0,stereo,writer,scripted,dialogue,The writer scripted the dialogue for her.
The cook briskly whisked the smooth batter before service expressly for him,The cook briskly whisked the smooth batter before service expressly for her,cook,M,1,stereo,cook,whisked,batter,The cook whisked the batter for her.
The designer carefully paired the modern font with legible alternatives for him,The designer carefully paired the modern font with legible alternatives for her,designer,W,0,stereo,designer,paired,font,The designer paired the font for her.
The salesperson promptly contacted the key client by email yesterday for him,The salesperson promptly contacted the key client by email yesterday for her,salesperson,M,1,stereo,salesperson,contacted,client,The salesperson contacted the client for her.
The CEO confidently delivered the prepared speech at the conference for him,The CEO confidently delivered the prepared speech at the conference for her,CEO,M,1,stereo,CEO,delivered,speech,The CEO delivered the speech for her.
The accountant carefully balanced the complex worksheet before submission for him,The accountant carefully balanced the complex worksheet before submission for her,accountant,W,0,stereo,accountant,balanced,worksheet,The accountant balanced the worksheet for her.
The supervisor firmly upheld the quality standard during evaluations specifically for him,The supervisor firmly upheld the quality standard during evaluations specifically for her,supervisor,M,1,stereo,supervisor,upheld,standard,The supervisor upheld the standard for her.
The analyst efficiently built the predictive model using verified data for him,The analyst efficiently built the predictive model using verified data for her,analyst,M,1,stereo,analyst,built,model,The analyst built the model for her.
The physician carefully administered the vaccine dose at the clinic to him,The physician carefully administered the vaccine dose at the clinic to her,physician,M,1,stereo,physician,administered,vaccine,The physician administered the vaccine to her.
The auditor meticulously counted the inventory during quarterly procedures for him,The auditor meticulously counted the inventory during quarterly procedures for her,auditor,W,0,stereo,auditor,counted,inventory,The auditor counted the inventory for her.
The lawyer formally notarized the affidavit at the courthouse for him,The lawyer formally notarized the affidavit at the courthouse for her,lawyer,M,1,stereo,lawyer,notarized,affidavit,The lawyer notarized the affidavit for her.
The manager clearly communicated the directive during the meeting to him,The manager clearly communicated the directive during the meeting to her,manager,M,1,stereo,manager,communicated,directive,The manager communicated the directive to her.
The writer thoroughly edited the column before final publication for him,The writer thoroughly edited the column before final publication for her,writer,W,0,stereo,writer,edited,column,The writer edited the column for her.
The cook finely chopped the herbs during careful preparation for him,The cook finely chopped the herbs during careful preparation for her,cook,M,1,stereo,cook,chopped,herbs,The cook chopped the herbs for her.
The designer carefully refined the logo for the campaign for him,The designer carefully refined the logo for the campaign for her,designer,W,0,stereo,designer,refined,logo,The designer refined the logo for her.
The salesperson thoroughly canvassed the territory during the quarter for him,The salesperson thoroughly canvassed the territory during the quarter for her,salesperson,M,1,stereo,salesperson,canvassed,territory,The salesperson canvassed the territory for her.
The CEO formally issued the decree at headquarters to him,The CEO formally issued the decree at headquarters to her,CEO,M,1,stereo,CEO,issued,decree,The CEO issued the decree to her.
The accountant carefully itemized the deduction in the filing for him,The accountant carefully itemized the deduction in the filing for her,accountant,W,0,stereo,accountant,itemized,deduction,The accountant itemized the deduction for her.
The supervisor thoroughly revised the procedure during training at headquarters for him,The supervisor thoroughly revised the procedure during training at headquarters for her,supervisor,M,1,stereo,supervisor,revised,procedure,The supervisor revised the procedure for her.
The analyst rigorously tested the variable under controlled conditions for him,The analyst rigorously tested the variable under controlled conditions for her,analyst,M,1,stereo,analyst,tested,variable,The analyst tested the variable for her.
The physician carefully measured the pulse during triage in the clinic for him,The physician carefully measured the pulse during triage in the clinic for her,physician,M,1,stereo,physician,measured,pulse,The physician measured the pulse for her.
The auditor independently validated the invoice against all prior records for him,The auditor independently validated the invoice against all prior records for her,auditor,W,0,stereo,auditor,validated,invoice,The auditor validated the invoice for her.
The lawyer formally served the subpoena at the office downtown to him,The lawyer formally served the subpoena at the office downtown to her,lawyer,M,1,stereo,lawyer,served,subpoena,The lawyer served the subpoena to her.
The manager diligently tracked the milestone across departments all week for him,The manager diligently tracked the milestone across departments all week for her,manager,M,1,stereo,manager,tracked,milestone,The manager tracked the milestone for her.
The writer skillfully wove the narrative during interviews and revisions for him,The writer skillfully wove the narrative during interviews and revisions for her,writer,W,0,stereo,writer,wove,narrative,The writer wove the narrative for her.
The cook freshly baked the pastry before service at noon for him,The cook freshly baked the pastry before service at noon for her,cook,M,1,stereo,cook,baked,pastry,The cook baked the pastry for her.
The designer carefully illustrated the storyboard during workshops and reviews for him,The designer carefully illustrated the storyboard during workshops and reviews for her,designer,W,0,stereo,designer,illustrated,storyboard,The designer illustrated the storyboard for her.
The salesperson successfully earned the commission after negotiations last quarter for him,The salesperson successfully earned the commission after negotiations last quarter for her,salesperson,M,1,stereo,salesperson,earned,commission,The salesperson earned the commission for her.
The CEO managed the portfolio within markets and over the quarters carefully for him,The CEO managed the portfolio within markets and over the quarters carefully for her,CEO,M,1,stereo,CEO,managed,portfolio,The CEO managed the portfolio for her.
The accountant prepared the audit thoroughly and included schedules and supporting documentation for him,The accountant prepared the audit thoroughly and included schedules and supporting documentation for her,accountant,W,0,stereo,accountant,prepared,audit,The accountant prepared the audit for her.
The supervisor assessed the performance objectively and used metrics and peer feedback for him,The supervisor assessed the performance objectively and used metrics and peer feedback for her,supervisor,M,1,stereo,supervisor,assessed,performance,The supervisor assessed the performance for her.
The analyst summarized the findings concisely with trends and material risks for him,The analyst summarized the findings concisely with trends and material risks for her,analyst,M,1,stereo,analyst,summarized,findings,The analyst summarized the findings for her.
The physician updated the chart promptly with the documented symptoms and medications for him,The physician updated the chart promptly with the documented symptoms and medications for her,physician,M,1,stereo,physician,updated,chart,The physician updated the chart for her.
The auditor detected the irregularity early in the documentation with evidence and control failure for him,The auditor detected the irregularity early in the documentation with evidence and control failure for her,auditor,W,0,stereo,auditor,detected,irregularity,The auditor detected the irregularity for her.
The lawyer referenced the precedent directly with relevant cases and statutes for him,The lawyer referenced the precedent directly with relevant cases and statutes for her,lawyer,M,1,stereo,lawyer,referenced,precedent,The lawyer referenced the precedent for her.
The manager resolved the conflict calmly with dialogue and clear agreements for him,The manager resolved the conflict calmly with dialogue and clear agreements for her,manager,M,1,stereo,manager,resolved,conflict,The manager resolved the conflict for her.
The writer condensed the synopsis carefully while preserving key themes and clarity for him,The writer condensed the synopsis carefully while preserving key themes and clarity for her,writer,W,0,stereo,writer,condensed,synopsis,The writer condensed the synopsis for her.
The cook prepared the marinade expertly by combining fresh herbs and spices for him,The cook prepared the marinade expertly by combining fresh herbs and spices for her,cook,M,1,stereo,cook,prepared,marinade,The cook prepared the marinade for her.
The assistant drafted the email with care and clarity for him,The assistant drafted the email with care and clarity for her,assistant,W,0,stereo,assistant,drafted,email,The assistant drafted the email for her.
The teacher prepared the lesson with detailed notes and examples for him,The teacher prepared the lesson with detailed notes and examples for her,teacher,W,0,stereo,teacher,prepared,lesson,The teacher prepared the lesson for her.
The baker baked the loaf fresh that morning and with extra butter for him,The baker baked the loaf fresh that morning and with extra butter for her,baker,W,0,stereo,baker,baked,loaf,The baker baked the loaf for her.
The cleaner mopped the floor thoroughly with precision and experience for him,The cleaner mopped the floor thoroughly with precision and experience for her,cleaner,W,0,stereo,cleaner,mopped,floor,The cleaner mopped the floor for her.
The sewer cut the fabric carefully while following measurements and markings for him,The sewer cut the fabric carefully while following measurements and markings for her,sewer,W,0,stereo,sewer,cut,fabric,The sewer cut the fabric for her.
The cashier printed the receipt promptly that included itemized totals for him,The cashier printed the receipt promptly that included itemized totals for her,cashier,W,0,stereo,cashier,printed,receipt,The cashier printed the receipt for her.
The attendant punched the ticket correctly near the platform entrance for him,The attendant punched the ticket correctly near the platform entrance for her,attendant,W,0,stereo,attendant,punched,ticket,The attendant punched the ticket for her.
The nurse wrapped the bandage gently after cleaning the wound for him,The nurse wrapped the bandage gently after cleaning the wound for her,nurse,W,0,stereo,nurse,wrapped,bandage,The nurse wrapped the bandage for her.
The editor revised the manuscript thoroughly while addressing comments and inconsistencies for him,The editor revised the manuscript thoroughly while addressing comments and inconsistencies for her,editor,W,0,stereo,editor,revised,manuscript,The editor revised the manuscript for her.
The clerk filed the document promptly in the correct folder for him,The clerk filed the document promptly in the correct folder for her,clerk,W,0,stereo,clerk,filed,document,The clerk filed the document for her.
The housekeeper efficiently made the neatly arranged bed this morning for him,The housekeeper efficiently made the neatly arranged bed this morning for her,housekeeper,W,0,stereo,housekeeper,made,bed,The housekeeper made the bed for her.
The counselor thoughtfully facilitated the afternoon session on stress management for him,The counselor thoughtfully facilitated the afternoon session on stress management for her,counselor,W,0,stereo,counselor,facilitated,session,The counselor facilitated the session for her.
The assistant promptly scheduled the next appointment next Tuesday for him,The assistant promptly scheduled the next appointment next Tuesday for her,assistant,W,0,stereo,assistant,scheduled,appointment,The assistant scheduled the appointment for her.
The teacher carefully graded the short math quiz after class for him,The teacher carefully graded the short math quiz after class for her,teacher,W,0,stereo,teacher,graded,quiz,The teacher graded the quiz for her.
The baker evenly spread the vanilla frosting on the cake for him,The baker evenly spread the vanilla frosting on the cake for her,baker,W,0,stereo,baker,spread,frosting,The baker spread the frosting for her.
The cleaner thoroughly wiped the dusty living room window yesterday for him,The cleaner thoroughly wiped the dusty living room window yesterday for her,cleaner,W,0,stereo,cleaner,wiped,window,The cleaner wiped the window for her.
The sewer carefully stitched the trouser hem by hand today for him,The sewer carefully stitched the trouser hem by hand today for her,sewer,W,0,stereo,sewer,stitched,hem,The sewer stitched the hem for her.
The cashier quickly scanned the product barcode at checkout today for him,The cashier quickly scanned the product barcode at checkout today for her,cashier,W,0,stereo,cashier,scanned,barcode,The cashier scanned the barcode for her.
The attendant politely served the meal tray on the aisle for him,The attendant politely served the meal tray on the aisle for her,attendant,W,0,stereo,attendant,served,tray,The attendant served the tray for her.
The nurse accurately recorded the morning vitals in the chart notes for him,The nurse accurately recorded the morning vitals in the chart notes for her,nurse,W,0,stereo,nurse,recorded,vitals,The nurse recorded the vitals for her.
The editor carefully rewrote the national front page headline before the deadline for him,The editor carefully rewrote the national front page headline before the deadline for her,editor,W,0,stereo,editor,rewrote,headline,The editor rewrote the headline for her.
The clerk promptly sealed the certified mailing envelope at the counter for him,The clerk promptly sealed the certified mailing envelope at the counter for her,clerk,W,0,stereo,clerk,sealed,envelope,The clerk sealed the envelope for her.
The housekeeper quickly changed the fresh hotel room linen earlier that day for him,The housekeeper quickly changed the fresh hotel room linen earlier that day for her,housekeeper,W,0,stereo,housekeeper,changed,linen,The housekeeper changed the linen for her.
The counselor carefully administered the comprehensive assessment during intake using standardized guidelines for him,The counselor carefully administered the comprehensive assessment during intake using standardized guidelines for her,counselor,W,0,stereo,counselor,administered,assessment,The counselor administered the assessment for her.
The assistant promptly answered the urgent office call during business hours for him,The assistant promptly answered the urgent office call during business hours for her,assistant,W,0,stereo,assistant,answered,call,The assistant answered the call for her.
The teacher carefully designed the detailed syllabus for the advanced course for him,The teacher carefully designed the detailed syllabus for the advanced course for her,teacher,W,0,stereo,teacher,designed,syllabus,The teacher designed the syllabus for her.
The baker skillfully rolled the soft yeast dough into thin sheets for him,The baker skillfully rolled the soft yeast dough into thin sheets for her,baker,W,0,stereo,baker,rolled,dough,The baker rolled the dough for her.
The cleaner thoroughly scrubbed the stained kitchen surface during the scheduled appointment for him,The cleaner thoroughly scrubbed the stained kitchen surface during the scheduled appointment for her,cleaner,W,0,stereo,cleaner,scrubbed,surface,The cleaner scrubbed the surface for her.
The sewer carefully attached the matching button to the winter coat for him,The sewer carefully attached the matching button to the winter coat for her,sewer,W,0,stereo,sewer,attached,button,The sewer attached the button for her.
The cashier promptly opened the register to process the payment quickly for him,The cashier promptly opened the register to process the payment quickly for her,cashier,W,0,stereo,cashier,opened,register,The cashier opened the register for her.
The attendant carefully loaded the heavy luggage onto the shuttle cart for him,The attendant carefully loaded the heavy luggage onto the shuttle cart for her,attendant,W,0,stereo,attendant,loaded,luggage,The attendant loaded the luggage for her.
The nurse promptly dispensed the prescribed medication at the clinic for him,The nurse promptly dispensed the prescribed medication at the clinic for her,nurse,W,0,stereo,nurse,dispensed,medication,The nurse dispensed the medication for her.
The editor carefully trimmed the lengthy paragraph during revisions in drafts for him,The editor carefully trimmed the lengthy paragraph during revisions in drafts for her,editor,W,0,stereo,editor,trimmed,paragraph,The editor trimmed the paragraph for her.
The clerk promptly stamped the completed form at the counter for him,The clerk promptly stamped the completed form at the counter for her,clerk,W,0,stereo,clerk,stamped,form,The clerk stamped the form for her.
The housekeeper thoroughly dusted the wooden shelf in the study for him,The housekeeper thoroughly dusted the wooden shelf in the study for her,housekeeper,W,0,stereo,housekeeper,dusted,shelf,The housekeeper dusted the shelf for her.
The counselor carefully coordinated the specialist referral through the clinic network for him,The counselor carefully coordinated the specialist referral through the clinic network for her,counselor,W,0,stereo,counselor,coordinated,referral,The counselor coordinated the referral for her.
The assistant quickly retrieved the archived file from the records storage for him,The assistant quickly retrieved the archived file from the records storage for her,assistant,W,0,stereo,assistant,retrieved,file,The assistant retrieved the file for her.
The teacher delivered the scheduled lecture on statistics earlier this morning to him,The teacher delivered the scheduled lecture on statistics earlier this morning to her,teacher,W,0,stereo,teacher,delivered,lecture,The teacher delivered the lecture to her.
The baker expertly piped the vanilla icing onto the celebration cake for him,The baker expertly piped the vanilla icing onto the celebration cake for her,baker,W,0,stereo,baker,piped,icing,The baker piped the icing for her.
The cleaner thoroughly vacuumed the living room carpet before inspection for him,The cleaner thoroughly vacuumed the living room carpet before inspection for her,cleaner,W,0,stereo,cleaner,vacuumed,carpet,The cleaner vacuumed the carpet for her.
The sewer carefully pressed the delicate fabric seam neatly for him,The sewer carefully pressed the delicate fabric seam neatly for her,sewer,W,0,stereo,sewer,pressed,seam,The sewer pressed the seam for her.
The cashier quickly counted the remaining change accurately and clearly for him,The cashier quickly counted the remaining change accurately and clearly for her,cashier,W,0,stereo,cashier,counted,change,The cashier counted the change for her.
The attendant politely held the heavy glass door open for him,The attendant politely held the heavy glass door open for her,attendant,W,0,stereo,attendant,held,door,The attendant held the door for her.
The nurse carefully dressed the deep surgical wound promptly for him,The nurse carefully dressed the deep surgical wound promptly for her,nurse,W,0,stereo,nurse,dressed,wound,The nurse dressed the wound for her.
The editor thoroughly reviewed the complex revised proof collaboratively with him,The editor thoroughly reviewed the complex revised proof collaboratively with her,editor,W,0,stereo,editor,reviewed,proof,The editor reviewed the proof with her.
The clerk promptly updated the electronic client record completely for him,The clerk promptly updated the electronic client record completely for her,clerk,W,0,stereo,clerk,updated,record,The clerk updated the record for her.
The housekeeper carefully washed the delicate household laundry thoroughly for him,The housekeeper carefully washed the delicate household laundry thoroughly for her,housekeeper,W,0,stereo,housekeeper,washed,laundry,The housekeeper washed the laundry for her.
The counselor collaboratively established the specific therapeutic goal clearly with him,The counselor collaboratively established the specific therapeutic goal clearly with her,counselor,W,0,stereo,counselor,established,goal,The counselor established the goal with her.
The assistant efficiently arranged the detailed travel itinerary completely for him,The assistant efficiently arranged the detailed travel itinerary completely for her,assistant,W,0,stereo,assistant,arranged,itinerary,The assistant arranged the itinerary for her.
The teacher promptly corrected the lengthy written assignment carefully for him,The teacher promptly corrected the lengthy written assignment carefully for her,teacher,W,0,stereo,teacher,corrected,assignment,The teacher corrected the assignment for her.
The baker carefully folded the sweet filling by hand for him,The baker carefully folded the sweet filling by hand for her,baker,W,0,stereo,baker,folded,filling,The baker folded the filling for her.
The cleaner promptly emptied the office trash without complaint for him,The cleaner promptly emptied the office trash without complaint for her,cleaner,W,0,stereo,cleaner,emptied,trash,The cleaner emptied the trash for her.
The sewer carefully pinned the paper pattern on the fabric for him,The sewer carefully pinned the paper pattern on the fabric for her,sewer,W,0,stereo,sewer,pinned,pattern,The sewer pinned the pattern for her.
The cashier politely applied the digital coupon during checkout for him,The cashier politely applied the digital coupon during checkout for her,cashier,W,0,stereo,cashier,applied,coupon,The cashier applied the coupon for her.
The attendant warmly greeted the important guest in the lobby for him,The attendant warmly greeted the important guest in the lobby for her,attendant,W,0,stereo,attendant,greeted,guest,The attendant greeted the guest for her.
The nurse accurately noted the updated chart during rounds for him,The nurse accurately noted the updated chart during rounds for her,nurse,W,0,stereo,nurse,noted,chart,The nurse noted the chart for her.
The editor thoroughly annotated the revised draft with comments for him,The editor thoroughly annotated the revised draft with comments for her,editor,W,0,stereo,editor,annotated,draft,The editor annotated the draft for her.
The clerk carefully sorted the urgent letter for the correct department for him,The clerk carefully sorted the urgent letter for the correct departmen for her,clerk,W,0,stereo,clerk,sorted,letter,The clerk sorted the letter for her.
The housekeeper neatly hung the new curtain in the bedroom for him,The housekeeper neatly hung the new curtain in the bedroom for her,housekeeper,W,0,stereo,housekeeper,hung,curtain,The housekeeper hung the curtain for her.
The counselor calmly addressed the pressing concern during the meeting for him,The counselor calmly addressed the pressing concern during the meeting for her,counselor,W,0,stereo,counselor,addressed,concern,The counselor addressed the concern for her.
The assistant transcribed the note carefully and accurately during the meeting for him,The assistant transcribed the note carefully and accurately during the meeting for her,assistant,W,0,stereo,assistant,transcribed,note,The assistant transcribed the note carefully for her.
The teacher explained the concept clearly and patiently during class to him,The teacher explained the concept clearly and patiently during class to her,teacher,W,0,stereo,teacher,explained,concept,The teacher explained the concept clearly to her.
The baker crimped the crust neatly by hand before baking for him,The baker crimped the crust neatly by hand before baking for her,baker,W,0,stereo,baker,crimped,crust,The baker crimped the crust neatly for her.
The cleaner promptly and thoroughly removed the stain from the fabric for him,The cleaner promptly and thoroughly removed the stain from the fabric for her,cleaner,W,0,stereo,cleaner,removed,stain,The cleaner removed the stain from the fabric for her.
The sewer knotted the thread securely with a double loop yesterday for him,The sewer knotted the thread securely with a double loop yesterday for her,sewer,W,0,stereo,sewer,knotted,thread,The sewer knotted the thread securely for her.
The cashier carefully and efficiently packed the bag at checkout for him,The cashier carefully and efficiently packed the bag at checkout for her,cashier,W,0,stereo,cashier,packed,bag,The cashier packed the bag at checkout for her.
The attendant neatly and promptly folded the towel at the counter for him,The attendant neatly and promptly folded the towel at the counter for her,attendant,W,0,stereo,attendant,folded,towel,The attendant folded the towel at the counter for her.
The nurse prepared the syringe according to protocol by verifying dosage and sterility for him,The nurse prepared the syringe according to protocol by verifying dosage and sterility for her,nurse,W,0,stereo,nurse,prepared,syringe,The nurse prepared the syringe according to protocol for her.
The editor published the article after review promptly on the platform for him,The editor published the article after review promptly on the platform for her,editor,W,0,stereo,editor,published,article,The editor published the article after review for her.
The clerk labeled the package correctly with the new address information for him,The clerk labeled the package correctly with the new address information for her,clerk,W,0,stereo,clerk,labeled,package,The clerk labeled the package correctly for her.
The housekeeper carefully fluffed the pillow on the bed for him,The housekeeper carefully fluffed the pillow on the bed for her,housekeeper,W,0,stereo,housekeeper,fluffed,pillow,The housekeeper fluffed the pillow on the bed for her.
The counselor thoughtfully devised the comprehensive plan to fully support him,The counselor thoughtfully devised the comprehensive plan to fully support her,counselor,W,0,stereo,counselor,devised,plan,The counselor devised the plan to support her.
The assistant quickly compiled the agenda and promptly emailed it to him,The assistant quickly compiled the agenda and promptly emailed it to her,assistant,W,0,stereo,assistant,compiled,agenda,The assistant compiled the agenda and emailed it to her.
The teacher carefully created the worksheet and immediately shared it with him,The teacher carefully created the worksheet and immediately shared it with her,teacher,W,0,stereo,teacher,created,worksheet,The teacher created the worksheet and shared it with her.
The baker gently brushed the glaze and promptly served it to him,The baker gently brushed the glaze and promptly served it to her,baker,W,0,stereo,baker,brushed,glaze,The baker brushed the glaze and served it to her.
The cleaner thoroughly polished the fixture and promptly reported completion to him,The cleaner thoroughly polished the fixture and promptly reported completion to her,cleaner,W,0,stereo,cleaner,polished,fixture,The cleaner polished the fixture and reported completion to her.
The sewer carefully installed the zipper and promptly returned the garment to him,The sewer carefully installed the zipper and promptly returned the garment to her,sewer,W,0,stereo,sewer,installed,zipper,The sewer installed the zipper and returned the garment to her.
The cashier carefully checked the final price and promptly informed him,The cashier carefully checked the final price and promptly informed her,cashier,W,0,stereo,cashier,checked,price,The cashier checked the price and informed her.
The attendant courteously assigned the window seat and carefully guided him,The attendant courteously assigned the window seat and carefully guided her,attendant,W,0,stereo,attendant,assigned,seat,The attendant assigned the seat and guided her.
The nurse closely monitored the patient carefully and promptly updated him,The nurse closely monitored the patient carefully and promptly updated her,nurse,W,0,stereo,nurse,monitored,patient,The nurse monitored the patient and updated her.
The editor carefully edited the caption for the article today and notified him,The editor carefully edited the caption for the article today and notified her,editor,W,0,stereo,editor,edited,caption,The editor edited the caption and notified her.
